,file,noFrames
0,1149178946789986304.mp4,30
1,1147087383884611584.mp4,30
2,1027003324282654720.mp4,30
3,1153805453625622528.mp4,30
4,1123037967817043968.mp4,0
5,1165174042676912128.mp4,30
6,1060350847097221120.mp4,30
7,1068331658626875392.mp4,30
8,1154295514678829056.mp4,30
9,1087153434588753920.mp4,30
10,1132551371829207040.mp4,30
11,1110995018279436288.mp4,30
12,1168674303898976256.mp4,30
13,1030470596695359488.mp4,30
14,1161394357018984448.mp4,30
15,1027519055210438656.mp4,30
16,1163980691873357824.mp4,0
17,1178264272132829184.mp4,0
18,1116566662003810304.mp4,30
19,993316994789093376.mp4,30
20,1105231090496466944.mp4,30
21,1118658638433644544.mp4,30
22,1090702573801021440.mp4,30
23,996707969997684736.mp4,30
24,1143223431605952512.mp4,30
25,1065408203174641664.mp4,30
26,1126712015210393600.mp4,30
27,1117352411007246336.mp4,30
28,1037557671953342464.mp4,30
29,1125967329365577728.mp4,30
30,1113181724466429952.mp4,29
31,1094470760749301760.mp4,30
32,1123819302441644032.mp4,30
33,1098494225022345216.mp4,0
34,1177781116413820928.mp4,30
35,1066169079599104000.mp4,30
36,1096628029943341056.mp4,30
37,1160900609034358784.mp4,30
38,1013942839530467328.mp4,30
39,1137629756226174976.mp4,30
40,1018729501821399040.mp4,30
41,1159386710598402048.mp4,0
42,1089363733589180416.mp4,30
43,1154637880610746368.mp4,30
44,1175799532286894080.mp4,30
45,1152774856690098176.mp4,0
46,1062530169086095360.mp4,30
47,1150974608728883200.mp4,30
48,1168389164421763072.mp4,30
49,1177141283874082816.mp4,30
50,1091205374369021952.mp4,30
51,1105383009349226496.mp4,0
